budget,remaining,recovered
0,187388.444403321,0
1000,34908.0623306966,152480.382072624
2000,27149.8655546604,160238.578848661
3000,19230.7991004245,168157.645302896
4000,16533.0479204449,170855.396482876
5000,12329.5915868826,175058.852816438
6000,10269.9546806481,177118.489722673
7000,7660.59936892818,179727.845034393
8000,4629.78711342257,182758.657289898
9000,1175.32624507663,186213.118158244
10000,894.692284313726,186493.752119007
