budget,remaining,recovered
0,187388.444403321,0
1000,27623.5145970704,159764.929806251
2000,20707.2137739118,166681.23062941
3000,17062.693428242,170325.75097508
4000,14594.8495447209,172793.594858601
5000,13421.0300101379,173967.414393184
6000,12165.924583926,175222.519819395
7000,7809.12927643163,179579.31512689
8000,7303.30890833426,180085.135494987
9000,4212.98968402117,183175.4547193
10000,812.795078064389,186575.649325257
